snp-dists 0.6.3,2009_36,BA2175,BA5274,BA8206,BA8217,BA8315,BA8325,BA8327,BA8618,BA8663,BA9049,BA9272,BA9321,BA9326,BA9328,BA9381,BA9437,BA9712,BA9739,BA9751,BA9752,CA0053,CA0067,CA0076,CA0077,CA0100,CA0101,CA0102,CA0103,CA0115,CA0117,CA0122,CA0125,CA0135,CA0139,CA0141,CA0833,CA0873,CA0878,CA0883,CA0885,CA0909,CA0910,CA0912,CA0925,CA0926,CA0927,CA1310,CA4383,CA4403,CA4405,CA4465,DA2215,DA2290,DA3592,DA3741,DA3769,DA4589,DA4592,DA4594,DA4618,DA4619,DA4621,DA4624,DA4626,DA4632,DA4642,DA4643,DA4649,DA4650,DA4655,DA4809,DA5291,DA9429,EA0976,EA2246,EA2892,EA3951,EA4711,EA4737,F2_14D,FA9052,FA9055,FA9057,FA9058,FA9061,FA9063,FA9064,FA9065,FA9067,FA9074,FA9085,FA9092,FA9097,FA9098,FA9107,FA9110,FA9114,FA9118,FA9120,FA9124,FA9125,FA9126,FA9130,FA9131,FA9134,FA9136,FA9137,FA9143,FA9148,FA9149,FA9152,FA9160,FA9950,FA9952,GA3026,GA6612,GA6622,GA6630,GA6631,GA6643,GA6645,GA6646,GA6791,GA8084,HA0015,HA0017,HA0071,HA3119,HA7251,HA7630,HA7663,HA9360,HA9399,HA9450,HA9520,HA9631,IA0869,IA0983,IA1829,IA2820,IA3637,IA3885,IA4037,IA4046,IA4053,IA4072,IA4090,IA4093,IA4095,IA4127,IA4128,IA4131,IA4141,IA4156,IA4159,IA4417,IA6627,IA6645,IA7281,IA8900,IA9379,JA3253,JA4514,JA5749,JA7896,JA8189,JA8190,JA8241,JA8252,JA8266,JA8320,JA8385,JA8469,KA1772,KA1794,KA1850,KA1851,KA1855,KA3718,KA3808,KA3838,KA3859,KA3870,KA3909,KA3977,KA3983,KA4015,KA4076,KA4140,KA4205,KA4213,KA4242,KA4253,KA4309,KA4331,KA4334,KA4355,KA4595,KA4627,KA4871,KA5027,KA5737,KA5738,KA9540,LA0853,LA0995,LA1141,LA1145,LA1148,LA3619,LA3621,LA3622,LA3663,LA3664,LA3674,LA5125,LA5503,LA5585,LA7429,LA8319,LA8327,LA8340,LA8344,LA8346,LA8355,LA8360,LA8364,LA8371,LA8375,LA8377,LA8390,LA8392,LA8404,LA8411,LA8416,LA8424,LA8426,LA8428,LA8430,LA8434,LA8440,LA8441,LA8442,LA8445,LA8446,LA8448,LA8456,LA8457,LA8472,LA8475,LA8478,LA8483,LA8484,LA8485,LA8488,LA8498,LA8500,LA8507,LA8511,LA8515,LA8519,MA0016,MA0187,MA0279,MA0428,MA0476,MA0512,MA0520,MA1021,MA1055,MA1299,MA1951,MA3056,MA3100,MA3107,MA3136,MA3161,MA3646,MA5127,MA5807,MA5825,Reference
LA3674,53,41,33,48,56,60,50,45,43,76,66,37,38,37,37,41,46,64,57,36,55,36,38,52,43,53,47,51,58,80,80,51,79,40,46,34,58,66,26,55,44,34,52,37,40,25,53,49,71,55,56,62,44,39,47,47,41,59,36,60,41,38,49,40,38,64,41,70,36,38,37,39,42,61,43,40,69,58,47,40,53,51,36,32,35,38,36,41,50,32,51,76,48,40,34,63,66,31,86,77,77,46,52,63,40,36,45,41,37,44,40,37,51,59,53,52,53,49,41,45,53,52,44,62,67,63,62,45,63,66,65,62,42,32,55,48,61,50,59,48,40,47,61,53,47,48,64,43,51,45,59,56,44,58,69,57,49,62,49,48,39,57,59,57,40,57,58,58,67,57,58,60,62,64,39,38,38,37,38,49,66,72,65,48,55,69,71,56,45,57,78,45,72,73,46,49,75,68,42,40,50,48,59,63,43,61,54,50,44,44,45,34,31,30,32,0,69,55,59,48,76,54,44,48,75,53,45,43,43,45,56,41,33,44,40,41,79,43,55,36,56,44,45,46,38,46,42,75,33,57,49,45,34,45,44,46,71,59,44,38,39,39,40,69,47,49,54,44,55,39,62,86,76,46,70,50,43,45,49,56,60,44,52
LA5125,68,56,56,63,71,75,65,60,58,91,81,60,53,52,58,62,61,79,72,51,70,51,61,73,64,74,68,72,81,95,95,72,94,55,69,63,79,81,49,70,65,57,67,60,53,54,66,64,86,70,77,45,65,62,62,62,56,80,57,75,64,61,64,61,61,79,56,85,59,61,52,60,57,76,58,55,84,73,62,63,68,66,51,55,50,53,51,56,65,47,66,91,63,55,49,78,81,46,99,92,92,61,73,46,55,51,60,56,52,59,55,52,66,74,36,67,74,64,56,60,68,67,67,77,80,78,77,60,78,81,80,77,63,61,70,69,74,65,74,63,55,62,76,68,62,63,79,58,66,60,74,71,59,73,84,72,64,77,64,61,62,72,74,72,55,72,73,73,82,72,79,75,77,79,62,61,61,60,61,64,81,87,80,63,70,84,86,71,60,72,93,60,87,88,61,64,90,83,55,53,65,63,74,78,58,76,69,65,59,59,58,57,60,53,55,69,0,70,74,63,91,69,59,63,90,68,60,58,58,60,71,56,48,59,55,64,94,58,70,51,71,59,60,61,67,61,65,90,62,72,64,60,57,60,59,61,86,74,67,53,54,54,55,82,62,64,69,59,70,54,77,101,91,61,85,65,58,60,64,71,75,59,67
LA5503,52,40,42,49,57,61,51,46,42,75,65,46,37,36,44,48,45,63,56,37,54,37,47,59,50,60,54,58,67,79,79,58,78,41,55,49,65,65,35,54,51,43,51,46,41,40,54,48,70,54,63,63,51,48,48,48,42,66,43,59,50,47,48,47,47,63,40,69,45,47,36,46,41,60,44,41,70,59,46,49,52,52,37,41,36,39,37,42,49,33,50,75,47,41,35,64,67,32,85,76,76,45,59,64,41,37,46,42,38,43,39,36,50,60,54,53,60,50,42,46,52,51,53,61,68,64,63,46,64,65,66,63,49,47,56,55,62,51,58,47,41,46,60,54,48,47,63,44,52,46,60,57,45,59,70,58,50,63,50,49,48,56,58,56,41,56,57,57,66,56,65,59,63,65,48,47,47,46,47,50,67,73,66,49,54,70,72,55,46,56,79,44,73,74,45,50,76,69,43,41,49,47,58,64,44,60,53,49,43,43,46,43,46,39,41,55,70,0,58,49,75,55,45,49,74,54,44,44,44,44,57,40,32,45,39,50,78,44,54,37,57,45,46,47,53,45,51,76,48,56,50,44,43,44,45,45,70,58,53,39,40,40,39,70,46,48,55,43,54,38,61,85,75,45,71,49,44,46,50,57,59,43,51
LA5585,54,42,46,53,61,65,55,50,44,77,69,50,39,38,48,52,47,65,58,41,56,41,51,63,54,64,58,62,71,83,83,62,82,45,59,53,69,67,39,56,55,47,55,50,45,44,58,50,74,56,67,67,55,52,52,52,46,70,47,61,54,51,50,51,51,65,42,73,49,51,38,50,43,62,48,45,74,63,48,53,54,56,41,45,40,43,41,46,51,37,52,79,49,45,39,68,71,36,87,80,80,47,63,68,45,41,50,46,42,45,41,38,52,64,58,57,64,54,46,50,56,55,57,63,72,68,67,50,68,67,70,67,53,51,60,59,66,55,60,49,45,48,62,58,52,49,67,48,56,50,64,61,49,63,74,62,54,67,54,53,52,58,60,58,45,58,61,61,70,60,69,63,67,69,52,51,51,50,51,54,71,77,70,53,56,74,76,59,50,58,83,46,77,78,47,54,80,73,47,45,51,49,60,68,48,62,55,51,45,45,50,47,50,43,45,59,74,58,0,53,77,59,49,53,76,58,46,48,48,46,61,42,34,49,41,54,82,48,56,41,61,49,50,51,57,47,55,80,52,58,54,46,47,46,49,47,72,60,57,43,44,44,41,74,48,50,59,45,56,40,63,87,79,47,75,51,48,50,54,61,63,45,55
LA7429,47,35,35,42,50,54,44,39,37,70,60,39,32,31,37,41,40,58,51,30,49,30,40,52,43,53,47,51,60,74,74,51,73,34,48,42,58,60,28,49,44,36,46,39,34,33,47,43,65,49,56,56,44,41,41,41,35,59,36,54,43,40,43,40,40,58,35,64,38,40,31,39,36,55,37,34,63,52,41,42,47,45,30,34,29,32,30,35,44,26,45,70,42,34,28,57,60,25,80,71,71,40,52,57,34,30,39,35,31,38,34,31,45,53,47,46,53,43,35,39,47,46,46,56,61,57,56,39,57,60,59,56,42,40,49,48,55,44,53,42,34,41,55,47,41,42,58,37,45,39,53,50,38,52,63,51,43,56,43,42,41,51,53,51,34,51,52,52,61,51,58,54,56,58,41,40,40,39,40,43,60,66,59,42,49,63,65,50,39,51,72,39,66,67,40,43,69,62,36,34,44,42,53,57,37,55,48,44,38,38,39,36,39,32,34,48,63,49,53,0,70,48,38,42,69,47,39,37,37,39,50,35,27,38,34,43,73,37,49,30,50,38,39,40,46,40,44,69,41,51,43,39,36,39,38,40,65,53,46,32,33,33,34,63,41,43,48,38,49,33,56,80,70,40,64,44,37,39,43,50,54,38,46
LA8319,71,59,63,70,78,82,72,67,61,72,86,67,56,55,65,69,64,82,75,58,73,58,68,80,71,81,75,79,88,100,100,79,99,62,76,70,86,66,56,73,72,64,72,67,62,61,75,67,91,73,84,84,72,69,69,69,63,87,64,78,71,68,67,68,68,42,59,90,66,68,55,67,60,79,65,62,91,80,65,70,71,73,58,62,57,60,58,63,68,54,69,96,66,62,56,85,88,53,104,97,97,64,80,85,62,58,67,63,59,62,58,55,69,81,75,74,81,71,63,67,73,72,74,40,89,85,84,67,85,84,87,84,70,68,77,76,83,72,77,66,62,65,79,75,69,66,84,65,73,67,81,78,66,80,91,79,71,84,71,70,69,75,77,75,62,75,78,78,87,77,86,80,84,86,69,68,68,67,68,71,88,94,87,70,73,91,93,76,67,53,100,63,94,95,64,71,97,90,64,62,68,66,77,85,65,79,72,68,62,62,67,64,67,60,62,76,91,75,77,70,0,76,66,70,3,75,63,65,65,63,78,59,51,66,58,71,99,65,73,58,78,66,67,68,74,64,72,97,69,75,71,63,64,63,66,64,67,77,74,60,61,61,58,91,65,67,76,62,73,57,58,82,96,64,92,68,65,67,71,78,80,62,72
LA8327,53,41,41,40,12,16,38,33,43,76,66,45,38,37,43,47,46,64,57,28,55,28,46,58,49,59,53,57,66,80,80,57,79,32,54,48,64,66,34,55,50,42,52,45,40,39,53,49,71,55,62,62,50,47,39,39,33,65,42,60,49,46,49,46,46,64,41,70,44,46,37,45,42,61,35,28,69,14,47,48,53,39,28,40,27,30,28,33,50,24,51,76,48,32,26,63,66,23,86,77,77,46,58,63,32,28,37,33,29,44,40,37,51,59,53,40,59,31,32,37,53,52,52,62,67,19,18,37,19,66,21,18,48,46,43,54,61,38,59,48,32,47,61,9,39,48,64,35,43,37,15,12,36,14,25,13,47,62,49,48,47,57,59,57,32,57,58,58,67,57,64,60,18,20,47,46,46,45,46,37,64,70,63,36,55,67,69,56,33,57,70,45,70,71,46,41,75,66,42,40,50,48,59,19,31,61,54,50,44,44,45,42,45,38,40,54,69,55,59,48,76,0,36,36,75,45,45,31,35,45,12,41,33,36,40,49,79,35,55,24,12,36,33,38,52,46,50,75,47,57,41,45,42,45,36,46,71,59,52,36,37,37,40,69,47,49,10,44,55,39,62,86,76,46,70,50,41,37,37,48,60,44,52
LA8340,43,31,31,30,38,42,32,27,33,66,56,35,28,27,33,37,36,54,47,18,45,18,36,48,39,49,43,47,56,70,70,47,69,22,44,38,54,56,24,45,40,32,42,35,30,29,43,39,61,45,52,52,40,37,29,29,23,55,32,50,39,36,39,36,36,54,31,60,34,36,27,35,32,51,25,22,59,40,37,38,43,33,18,30,17,20,18,23,40,14,41,66,38,22,16,53,56,13,76,67,67,36,48,53,22,18,27,23,19,34,30,27,41,49,43,34,49,31,23,27,43,42,42,52,57,45,44,27,45,56,47,44,38,36,37,44,51,32,49,38,22,37,51,35,29,38,54,25,33,27,41,38,26,40,51,39,37,52,39,38,37,47,49,47,22,47,48,48,57,47,54,50,44,46,37,36,36,35,36,31,54,60,53,30,45,57,59,46,27,47,60,35,60,61,36,31,65,56,32,30,40,38,49,45,25,51,44,40,34,34,35,32,35,28,30,44,59,45,49,38,66,36,0,30,65,35,35,25,25,35,38,31,23,26,30,39,69,25,45,18,38,22,27,28,42,36,40,65,37,47,31,35,32,35,22,36,61,49,42,26,27,27,30,59,37,39,36,34,45,29,52,76,66,36,60,40,31,27,31,38,50,34,42
LA8344,47,35,35,34,38,42,32,17,37,70,60,39,32,31,37,41,40,58,51,22,49,22,40,52,43,53,47,51,60,74,74,51,73,26,48,42,58,60,28,49,44,36,46,39,34,33,47,43,65,49,56,56,44,41,33,33,27,59,36,54,43,40,42,40,40,58,35,64,38,40,31,39,36,55,29,22,63,40,41,42,47,33,22,34,21,24,22,27,44,18,45,70,42,26,20,57,60,17,80,71,71,40,52,57,26,22,31,27,23,38,34,31,45,53,47,34,53,31,27,31,47,46,46,56,61,45,44,31,45,60,47,44,42,40,37,48,55,32,53,42,26,41,55,35,33,42,58,29,37,31,41,38,30,40,51,39,41,56,43,42,41,51,53,51,26,51,52,52,61,51,58,54,44,46,41,40,40,39,40,31,58,64,57,30,49,61,63,50,27,51,64,39,64,65,40,35,69,60,36,34,44,42,53,45,25,55,48,44,38,38,39,36,39,32,34,48,63,49,53,42,70,36,30,0,69,39,39,25,29,39,38,35,27,30,34,43,73,29,49,18,38,30,27,32,46,40,44,69,41,51,35,39,36,39,30,40,65,53,46,30,31,31,34,63,41,43,36,38,49,33,56,80,70,40,64,44,35,31,31,42,54,38,46
LA8346,70,58,62,69,77,81,71,66,60,71,85,66,55,54,64,68,63,81,74,57,72,57,67,79,70,80,74,78,87,99,99,78,98,61,75,69,85,65,55,72,71,63,71,66,61,60,74,66,90,72,83,83,71,68,68,68,62,86,63,77,70,67,66,67,67,41,58,89,65,67,54,66,59,78,64,61,90,79,64,69,70,72,57,61,56,59,57,62,67,53,68,95,65,61,55,84,87,52,103,96,96,63,79,84,61,57,66,62,58,61,57,54,68,80,74,73,80,70,62,66,72,71,73,39,88,84,83,66,84,83,86,83,69,67,76,75,82,71,76,65,61,64,78,74,68,65,83,64,72,66,80,77,65,79,90,78,70,83,70,69,68,74,76,74,61,74,77,77,86,76,85,79,83,85,68,67,67,66,67,70,87,93,86,69,72,90,92,75,66,52,99,62,93,94,63,70,96,89,63,61,67,65,76,84,64,78,71,67,61,61,66,63,66,59,61,75,90,74,76,69,3,75,65,69,0,74,62,64,64,62,77,58,50,65,57,70,98,64,72,57,77,65,66,67,73,63,71,96,68,74,70,62,63,62,65,63,66,76,73,59,60,60,57,90,64,66,75,61,72,56,57,81,95,63,91,67,64,66,70,77,79,61,71
LA8355,52,40,40,33,47,51,41,36,42,75,65,44,37,36,42,46,45,63,56,27,54,27,45,57,48,58,52,56,65,79,79,56,78,27,53,47,63,65,33,54,49,41,51,44,39,38,52,48,70,54,61,61,49,46,32,32,28,64,41,59,48,45,48,45,45,63,40,69,43,45,36,44,41,60,34,31,68,49,46,47,52,42,23,39,26,23,27,26,49,23,50,75,47,31,25,62,65,22,85,76,76,45,57,62,25,27,36,32,28,43,39,36,50,58,52,43,58,40,28,32,52,51,51,61,66,54,53,32,54,65,56,53,47,45,46,53,60,41,58,47,31,46,60,44,38,47,63,34,42,36,50,47,35,49,60,48,46,61,48,47,46,56,58,56,31,56,57,57,66,56,63,59,53,55,46,45,45,44,45,40,63,69,62,39,54,66,68,55,36,56,69,44,69,70,45,34,74,65,41,39,49,47,58,54,34,60,53,49,43,43,44,41,44,37,39,53,68,54,58,47,75,45,35,39,74,0,44,34,28,44,47,40,32,29,39,48,78,28,54,27,47,35,36,37,51,45,49,74,46,56,12,44,41,44,35,45,70,58,51,35,36,36,39,68,46,48,45,43,54,38,61,85,75,45,69,49,40,36,40,43,59,43,51
LA8360,34,22,32,39,47,51,41,36,16,63,55,36,19,18,34,38,27,49,42,27,40,27,37,49,40,50,44,48,57,69,69,48,68,31,45,39,55,53,25,42,41,33,41,36,31,30,44,30,60,36,53,53,41,38,38,38,32,56,33,41,40,37,30,37,37,51,22,59,35,37,18,36,23,46,34,31,60,49,28,39,34,42,27,31,26,29,27,32,35,23,36,65,33,31,25,54,57,22,71,66,66,27,49,54,31,27,36,32,28,25,21,18,36,50,44,43,50,40,32,36,42,41,43,49,58,54,53,36,54,53,56,53,39,37,46,45,52,41,46,25,31,28,46,44,38,29,53,34,42,36,50,47,35,49,60,48,40,53,40,39,38,38,40,38,31,44,47,47,56,46,55,49,53,55,38,37,37,36,37,40,57,63,56,39,36,60,62,45,36,44,69,26,63,64,27,40,66,59,33,31,27,25,40,54,34,42,35,31,25,25,36,33,36,29,31,45,60,44,46,39,63,45,35,39,62,44,0,34,34,0,47,18,14,35,21,40,68,34,42,27,47,35,36,37,43,33,41,66,38,44,40,0,33,0,35,19,58,38,43,29,30,30,21,60,28,26,45,25,42,18,49,73,65,27,61,31,34,36,40,47,49,25,41
LA8364,42,30,30,29,33,37,23,22,32,65,55,34,27,26,32,36,35,53,46,17,44,17,35,47,38,48,42,46,55,69,69,46,68,21,43,37,53,55,23,44,39,31,41,34,29,28,42,38,60,44,51,51,39,36,28,28,22,54,31,49,38,35,38,35,35,53,30,59,33,35,26,34,31,50,24,17,58,35,36,37,42,24,17,29,16,19,17,22,39,13,40,65,37,21,15,52,55,12,75,66,66,35,47,52,21,17,26,22,18,33,29,26,40,48,42,25,48,26,22,26,42,41,41,51,56,40,39,26,40,55,42,39,37,35,28,43,50,27,48,37,21,36,50,30,28,37,53,24,32,26,36,33,25,35,46,34,36,51,38,37,36,46,48,46,21,46,47,47,56,46,53,49,39,41,36,35,35,34,35,26,53,59,52,25,44,56,58,45,22,46,59,34,59,60,35,30,64,55,31,29,39,37,48,40,20,50,43,39,33,33,34,31,34,27,29,43,58,44,48,37,65,31,25,25,64,34,34,0,24,34,33,30,22,25,29,38,68,24,44,13,33,25,18,27,41,35,39,64,36,46,30,34,31,34,25,35,60,48,41,25,26,26,29,58,36,38,31,33,44,28,51,75,65,35,59,39,30,26,26,37,49,33,41
LA8371,42,30,30,23,37,41,31,26,32,65,55,34,27,26,32,36,35,53,46,17,44,17,35,47,38,48,42,46,55,69,69,46,68,17,43,37,53,55,23,44,39,31,41,34,29,28,42,38,60,44,51,51,39,36,22,22,18,54,31,49,38,35,38,35,35,53,30,59,33,35,26,34,31,50,24,21,58,39,36,37,42,32,13,29,16,13,17,16,39,13,40,65,37,21,15,52,55,12,75,66,66,35,47,52,15,17,26,22,18,33,29,26,40,48,42,33,48,30,18,22,42,41,41,51,56,44,43,22,44,55,46,43,37,35,36,43,50,31,48,37,21,36,50,34,28,37,53,24,32,26,40,37,25,39,50,38,36,51,38,37,36,46,48,46,21,46,47,47,56,46,53,49,43,45,36,35,35,34,35,30,53,59,52,29,44,56,58,45,26,46,59,34,59,60,35,12,64,55,31,29,39,37,48,44,24,50,43,39,33,33,34,31,34,27,29,43,58,44,48,37,65,35,25,29,64,28,34,24,0,34,37,30,22,3,29,38,68,2,44,17,37,25,26,27,41,35,39,64,36,46,24,34,31,34,25,35,60,48,41,25,26,26,29,58,36,38,35,33,44,28,51,75,65,35,59,39,30,26,30,33,49,33,41
LA8375,34,22,32,39,47,51,41,36,16,63,55,36,19,18,34,38,27,49,42,27,40,27,37,49,40,50,44,48,57,69,69,48,68,31,45,39,55,53,25,42,41,33,41,36,31,30,44,30,60,36,53,53,41,38,38,38,32,56,33,41,40,37,30,37,37,51,22,59,35,37,18,36,23,46,34,31,60,49,28,39,34,42,27,31,26,29,27,32,35,23,36,65,33,31,25,54,57,22,71,66,66,27,49,54,31,27,36,32,28,25,21,18,36,50,44,43,50,40,32,36,42,41,43,49,58,54,53,36,54,53,56,53,39,37,46,45,52,41,46,25,31,28,46,44,38,29,53,34,42,36,50,47,35,49,60,48,40,53,40,39,38,38,40,38,31,44,47,47,56,46,55,49,53,55,38,37,37,36,37,40,57,63,56,39,36,60,62,45,36,44,69,26,63,64,27,40,66,59,33,31,27,25,40,54,34,42,35,31,25,25,36,33,36,29,31,45,60,44,46,39,63,45,35,39,62,44,0,34,34,0,47,18,14,35,21,40,68,34,42,27,47,35,36,37,43,33,41,66,38,44,40,0,33,0,35,19,58,38,43,29,30,30,21,60,28,26,45,25,42,18,49,73,65,27,61,31,34,36,40,47,49,25,41
LA8377,55,43,43,42,14,18,40,35,45,78,68,47,40,39,45,49,48,66,59,30,57,30,48,60,51,61,55,59,68,82,82,59,81,34,56,50,66,68,36,57,52,44,54,47,42,41,55,51,73,57,64,64,52,49,41,41,35,67,44,62,51,48,51,48,48,66,43,72,46,48,39,47,44,63,37,30,71,16,49,50,55,41,30,42,29,32,30,35,52,26,53,78,50,34,28,65,68,25,88,79,79,48,60,65,34,30,39,35,31,46,42,39,53,61,55,42,61,33,34,39,55,54,54,64,69,21,20,39,21,68,23,20,50,48,45,56,63,40,61,50,34,49,63,11,41,50,66,37,45,39,17,14,38,16,27,15,49,64,51,50,49,59,61,59,34,59,60,60,69,59,66,62,20,22,49,48,48,47,48,39,66,72,65,38,57,69,71,58,35,59,72,47,72,73,48,43,77,68,44,42,52,50,61,21,33,63,56,52,46,46,47,44,47,40,42,56,71,57,61,50,78,12,38,38,77,47,47,33,37,47,0,43,35,38,42,51,81,37,57,26,14,38,35,40,54,48,52,77,49,59,43,47,44,47,38,48,73,61,54,38,39,39,42,71,49,51,12,46,57,41,64,88,78,48,72,52,43,39,39,50,62,46,54
LA8390,30,18,28,35,43,47,37,32,16,59,51,32,15,14,30,34,23,45,38,23,36,23,33,45,36,46,40,44,51,65,65,44,64,27,41,35,51,49,21,38,37,29,37,32,27,26,40,26,56,32,49,49,37,34,34,34,28,52,29,37,36,33,26,33,33,47,18,55,31,33,14,32,19,42,30,27,56,45,24,35,30,38,23,27,22,25,23,28,31,19,32,61,29,27,21,50,53,18,67,62,62,23,45,50,27,23,32,28,24,21,17,14,32,46,40,39,46,36,28,32,38,37,39,45,54,50,49,32,50,49,52,49,35,33,42,41,48,37,42,21,27,24,42,40,34,25,49,30,38,32,46,43,31,45,56,44,36,49,36,35,34,34,36,34,27,40,43,43,52,42,51,45,49,51,34,33,33,32,33,36,53,59,52,35,32,56,58,41,32,40,65,22,59,60,23,36,62,55,29,27,23,21,36,50,30,38,31,27,21,21,32,29,32,25,27,41,56,40,42,35,59,41,31,35,58,40,18,30,30,18,43,0,10,31,17,36,64,30,38,23,43,31,32,33,39,29,37,62,34,40,36,18,29,18,31,19,54,34,39,25,26,26,17,56,24,22,41,21,38,14,45,69,61,23,57,27,30,32,36,43,45,21,37
LA8392,22,10,20,27,35,39,29,24,12,51,43,24,7,6,22,26,15,37,30,15,28,15,25,37,28,38,32,36,45,57,57,36,56,19,33,27,43,41,13,30,29,21,29,24,19,18,32,18,48,24,41,41,29,26,26,26,20,44,21,29,28,25,18,25,25,39,10,47,23,25,6,24,11,34,22,19,48,37,16,27,22,30,15,19,14,17,15,20,23,11,24,53,21,19,13,42,45,10,59,54,54,15,37,42,19,15,24,20,16,13,9,6,24,38,32,31,38,28,20,24,30,29,31,37,46,42,41,24,42,41,44,41,27,25,34,33,40,29,34,17,19,16,34,32,26,17,41,22,30,24,38,35,23,37,48,36,28,41,28,27,26,26,28,26,19,32,35,35,44,34,43,37,41,43,26,25,25,24,25,28,45,51,44,27,24,48,50,33,24,32,57,14,51,52,15,28,54,47,21,19,19,17,28,42,22,30,23,19,13,13,24,21,24,17,19,33,48,32,34,27,51,33,23,27,50,32,14,22,22,14,35,10,0,23,9,28,56,22,30,15,35,23,24,25,31,21,29,54,26,32,28,14,21,14,23,15,46,28,31,17,18,18,9,48,16,18,33,13,30,8,37,61,53,15,49,19,22,24,28,35,37,13,29
LA8404,43,31,31,24,38,42,32,27,33,66,56,35,28,27,33,37,36,54,47,18,45,18,36,48,39,49,43,47,56,70,70,47,69,18,44,38,54,56,24,45,40,32,42,35,30,29,43,39,61,45,52,52,40,37,23,23,19,55,32,50,39,36,39,36,36,54,31,60,34,36,27,35,32,51,25,22,59,40,37,38,43,33,14,30,17,14,18,17,40,14,41,66,38,22,16,53,56,13,76,67,67,36,48,53,16,18,27,23,19,34,30,27,41,49,43,34,49,31,19,23,43,42,42,52,57,45,44,23,45,56,47,44,38,36,37,44,51,32,49,38,22,37,51,35,29,38,54,25,33,27,41,38,26,40,51,39,37,52,39,38,37,47,49,47,22,47,48,48,57,47,54,50,44,46,37,36,36,35,36,31,54,60,53,30,45,57,59,46,27,47,60,35,60,61,36,13,65,56,32,30,40,38,49,45,25,51,44,40,34,34,35,32,35,28,30,44,59,45,49,38,66,36,26,30,65,29,35,25,3,35,38,31,23,0,30,39,69,3,45,18,38,26,27,28,42,36,40,65,37,47,25,35,32,35,26,36,61,49,42,26,27,27,30,59,37,39,36,34,45,29,52,76,66,36,60,40,31,27,31,34,50,34,42
LA8411,29,17,27,34,42,46,36,31,19,58,50,31,14,13,29,33,22,44,37,22,35,22,32,44,35,45,39,43,52,64,64,43,63,26,40,34,50,48,20,37,36,28,36,31,26,25,39,25,55,31,48,48,36,33,33,33,27,51,28,36,35,32,25,32,32,46,17,54,30,32,13,31,18,41,29,26,55,44,23,34,29,37,22,26,21,24,22,27,30,18,31,60,28,26,20,49,52,17,66,61,61,22,44,49,26,22,31,27,23,20,16,13,31,45,39,38,45,35,27,31,37,36,38,44,53,49,48,31,49,48,51,48,34,32,41,40,47,36,41,24,26,23,41,39,33,24,48,29,37,31,45,42,30,44,55,43,35,48,35,34,33,33,35,33,26,39,42,42,51,41,50,44,48,50,33,32,32,31,32,35,52,58,51,34,31,55,57,40,31,39,64,13,58,59,14,35,61,54,28,26,26,24,35,49,29,37,30,26,20,20,31,28,31,24,26,40,55,39,41,34,58,40,30,34,57,39,21,29,29,21,42,17,9,30,0,35,63,29,37,22,42,30,31,32,38,28,36,61,33,39,35,21,28,21,30,22,53,35,38,24,25,25,10,55,23,25,40,20,37,15,44,68,60,22,56,26,29,31,35,42,44,20,36
LA8416,48,36,28,43,51,55,45,40,38,71,61,32,33,32,32,36,41,59,52,31,50,31,33,47,38,48,42,46,53,75,75,46,74,35,41,35,53,61,21,50,39,29,47,32,35,26,48,44,66,50,51,57,39,34,42,42,36,54,31,55,36,33,44,35,33,59,36,65,31,33,32,34,37,56,38,35,64,53,42,35,48,46,31,27,30,33,31,36,45,27,46,71,43,35,29,58,61,26,81,72,72,41,47,58,35,31,40,36,32,39,35,32,46,54,48,47,48,44,36,40,48,47,39,57,62,58,57,40,58,61,60,57,37,33,50,43,56,45,54,43,35,42,56,48,42,43,59,38,46,40,54,51,39,53,64,52,44,57,44,43,34,52,54,52,35,52,53,53,62,52,53,55,57,59,34,33,33,32,33,44,61,67,60,43,50,64,66,51,40,52,73,40,67,68,41,44,70,63,37,35,45,43,54,58,38,56,49,45,39,39,40,29,32,25,27,41,64,50,54,43,71,49,39,43,70,48,40,38,38,40,51,36,28,39,35,0,74,38,50,31,51,39,40,41,39,41,37,70,34,52,44,40,29,40,39,41,66,54,39,33,34,34,35,64,42,44,49,39,50,34,57,81,71,41,65,45,38,40,44,51,55,39,47
LA8424,76,64,66,73,81,85,75,70,66,99,89,70,61,60,68,72,69,87,80,61,78,61,71,83,74,84,78,82,91,103,103,82,102,65,79,73,89,89,59,78,75,67,47,70,65,64,78,72,94,78,87,87,75,72,72,72,66,90,67,83,74,71,72,71,71,87,64,93,69,71,60,70,65,84,68,65,94,83,70,73,76,76,61,65,60,63,61,66,73,57,74,99,71,65,59,88,91,56,109,100,100,69,83,88,65,61,70,66,62,67,63,60,74,84,78,77,84,74,66,70,48,47,77,85,92,88,87,70,88,89,90,87,73,71,80,79,86,75,82,71,65,70,84,78,72,71,87,68,76,70,84,81,69,83,94,82,74,87,74,73,72,80,82,80,65,80,53,53,62,52,89,55,87,89,72,71,71,70,71,74,91,97,90,73,78,94,96,79,70,80,103,68,97,98,69,74,100,93,67,65,73,71,82,88,68,84,77,73,67,67,70,67,70,63,65,79,94,78,82,73,99,79,69,73,98,78,68,68,68,68,81,64,56,69,63,74,0,68,78,61,81,69,70,71,77,69,75,100,72,80,74,68,67,68,69,69,94,82,77,63,64,64,63,94,70,72,79,67,78,62,85,109,99,69,95,73,68,70,74,81,83,67,47
